priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,problem_detected,phone,original_phone,normalized_phone,phone_status,normalization_notes,is_agency_number,is_duplicate,recommended_action,instagram,google_maps_url,demo_url,homepage_url,contact_person,status,notes
B,8,El Samurai,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5523 1469,55 5523 1469,525555231469,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=El+Samurai+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Un Rincon de Chile,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5524 4039,55 5524 4039,525555244039,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Un+Rincon+de+Chile+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Restaurante El Amaranto,Restaurante boutique,CDMX,Del Valle,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,55 5539 5074,55 5539 5074,525555395074,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Restaurante+El+Amaranto+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Paradiso Gourmet,Restaurante boutique,CDMX,Polanco-Lomas,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 55 5280 5902,+52 55 5280 5902,525552805902,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Paradiso+Gourmet+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Angelopolitano,Restaurante boutique,CDMX,Roma-Condesa,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,5563912121,5563912121,525563912121,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Angelopolitano+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Guzina Oaxaca,Restaurante boutique,CDMX,Polanco,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,5552821820,5552821820,525552821820,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Guzina+Oaxaca+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,La Buena Barra,Restaurante boutique,CDMX,Polanco,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,5552806699,5552806699,525552806699,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=La+Buena+Barra+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Publico,Restaurante boutique,CDMX,Polanco,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,5540001288,5540001288,525540001288,valid_format_only,Teléfono mexicano de 10 dígitos convertido a 52 + número.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Publico+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Testal,Restaurante boutique,CDMX,Centro-Roma,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+525555101358,+525555101358,525555101358,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Testal+CDMX,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Mina la Antigua,Restaurante boutique,Guadalajara,Colonia Americana-Providencia,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 33 2315 2430,+52 33 2315 2430,523323152430,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Mina+la+Antigua+Guadalajara,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Alta Fibra,Restaurante boutique,Guadalajara,Colonia Americana-Providencia,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 33 3124 1510,+52 33 3124 1510,523331241510,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Alta+Fibra+Guadalajara,https://nexo-local-studio-public.vercel.app/demos/restaurante,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Servicios Veterinarios Rodríguez,Veterinaria,CDMX,Cuauhtémoc,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+5215555839768,+5215555839768,525555839768,valid_format_only,Formato móvil antiguo 521 convertido a 52 + últimos 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Servicios+Veterinarios+Rodriguez+CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Centro Veterinario Norte,Veterinaria,CDMX,Peralvillo,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+5215555173665,+5215555173665,525555173665,valid_format_only,Formato móvil antiguo 521 convertido a 52 + últimos 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Centro+Veterinario+Norte+CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Caninos & Felinos,Veterinaria,Guadalajara,Zapopan,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 33 31241227,+52 33 31241227,523331241227,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Caninos+Felinos+Zapopan,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
B,8,Núcleo Médico Copérnico,Clínica estética,Guadalajara,Zapopan,,,No website tag found in OpenStreetMap,Teléfono público y sin website registrado en OSM,+52 33 36281590,+52 33 36281590,523336281590,valid_format_only,Teléfono ya estaba en formato 52 + 10 dígitos.,no,no,Pasar a verificación manual de WhatsApp.,,https://www.google.com/maps/search/?api=1&query=Nucleo+Medico+Copernico+Zapopan,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_whatsapp_verification,Fuente pública OpenStreetMap; sin website/contact:website registrado; revisar manualmente antes de contactar.
