business_name,city,zone,reason,matched_existing_record,matched_source_file
Gino's Guadalupe Inn,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556610777,deduplication_index.csv
Unidad de Medicina Familiar 19 Coyoacán,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555546455,deduplication_index.csv
El Sheik,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556593311,deduplication_index.csv
Sushi-itto Coyoacán,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555545735,deduplication_index.csv
Cluny,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555507350,deduplication_index.csv
Cafebrería El Péndulo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552869493,deduplication_index.csv
El Ocho,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525648458237,deduplication_index.csv
Cafebrería El Péndulo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555747034,deduplication_index.csv
Hospital de especialidades veterinarias San Jerónimo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556812078,deduplication_index.csv
Los Danzantes,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,525555541213,deduplication_index.csv
al-Andalus,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555222528,deduplication_index.csv
Óptica Optivision,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,optica optivision,deduplication_index.csv
El Rincón Zapatista,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555883641,deduplication_index.csv
Asados Don Abel,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525593485162,deduplication_index.csv
Centro Castellano,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,centro castellano,deduplication_index.csv
Kolobok,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556044091,deduplication_index.csv
La Cervecería de Barrio,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556047323,deduplication_index.csv
COBÁ FONDA YUCATECA,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525563959961,deduplication_index.csv
El Afán,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555756460,deduplication_index.csv
Marina Bistro,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555754014,deduplication_index.csv
Pitas Saleh,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525563637425,deduplication_index.csv
Bistro Cheny,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555239908,deduplication_index.csv
El Viejo Camilo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556693124,deduplication_index.csv
Barnabeu Tapas,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555369943,deduplication_index.csv
El Sencillito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555238195,deduplication_index.csv
Giorgio's Pizzas,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555431162,deduplication_index.csv
Chester's,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556882400,deduplication_index.csv
Ramen -ya,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555591495,deduplication_index.csv
Sushi Roll,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555757780,deduplication_index.csv
Pinche Gringo BBQ,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525563891129,deduplication_index.csv
Trok's torta,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555637897,deduplication_index.csv
Un Rincon de Chile,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555244039,deduplication_index.csv
Humbertos,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555598760,deduplication_index.csv
Restaurante Shoya,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556695211,deduplication_index.csv
Restaurante Hanal K'U,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555232383,deduplication_index.csv
Pane En Vía,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552600120,deduplication_index.csv
Don Capitán Del Valle,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555245901,deduplication_index.csv
Mercado Roma,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555641396,deduplication_index.csv
Sushi Roll,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556047968,deduplication_index.csv
El Tepehuani Conquistando,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525547540398,deduplication_index.csv
Bistrot M,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556881082,deduplication_index.csv
Tony Roma's,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552502522,deduplication_index.csv
Sanatorio Adventista,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555169207,deduplication_index.csv
Servicios Veterinarios Rodríguez,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555839768,deduplication_index.csv
Centro Veterinario Norte,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555173665,deduplication_index.csv
La Vid Argentina,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la vid argentina,deduplication_index.csv
Restaurante El Amaranto,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555395074,deduplication_index.csv
3 Sesenta Pizzería de Barrio,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,3 sesenta pizzeria de barrio,deduplication_index.csv
El Naranjito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525553369630,deduplication_index.csv
Sonora Grill - Félix Cuevas,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555438299,deduplication_index.csv
Paradiso Gourmet,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552805902,deduplication_index.csv
La Cocina,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556885573,deduplication_index.csv
Cardamomo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525565496774,deduplication_index.csv
Taqueria El Chaparrito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,taqueria el chaparrito,deduplication_index.csv
EL Compadre,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525557257840,deduplication_index.csv
La Casa de Toño,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525553861125,deduplication_index.csv
La vie en Rose,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525574775307,deduplication_index.csv
El Mayor,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525557047580,deduplication_index.csv
Toks,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525255419057,deduplication_index.csv
La Hostería de Santo Domingo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555265276,deduplication_index.csv
Fork of BBQ,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552645125,deduplication_index.csv
Restaurante Gotan,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,restaurante gotan,deduplication_index.csv
Tlacoyotitlan,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525547903313,deduplication_index.csv
Taquería Los Ovnis,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552606289,deduplication_index.csv
El Rey del Pavo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555182810,deduplication_index.csv
Cambalache,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,cambalache,deduplication_index.csv
Pappa John's,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,pappa john s,deduplication_index.csv
La Vaca Loca,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555798685,deduplication_index.csv
Lalo!,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555643388,deduplication_index.csv
Nanaya,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,nanaya,deduplication_index.csv
Frutos Prohibidos,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556014340,deduplication_index.csv
La Corte,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la corte,deduplication_index.csv
La Cocina de San Juan,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555125237,deduplication_index.csv
Himawari,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552644397,deduplication_index.csv
Cafebrería El Péndulo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552804111,deduplication_index.csv
Taqueria EI Progreso,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,taqueria ei progreso,deduplication_index.csv
El Cardenal,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555213080,deduplication_index.csv
La Talavera,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la talavera,deduplication_index.csv
NA DE FO,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555250351,deduplication_index.csv
Contramar,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555149217,deduplication_index.csv
Ostionería La Playa,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,ostioneria la playa,deduplication_index.csv
Yug Vegetariano,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555255330,deduplication_index.csv
Sushiitto,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,sushiitto,deduplication_index.csv
El Pialadero de Guadalajara,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552117708,deduplication_index.csv
Pizzería Balboa,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,pizzeria balboa,deduplication_index.csv
Koku,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,koku,deduplication_index.csv
Taquitos Frontera Grill,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525546321261,deduplication_index.csv
Patagonia Parrilla de Campo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552118032,deduplication_index.csv
Belle D'Jour,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,belle d jour,deduplication_index.csv
Museo del jamón México,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525255238359,deduplication_index.csv
Fralugio distribuidor electrónica,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525526874082,deduplication_index.csv
Cafebrería El Péndulo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552082327,deduplication_index.csv
Taqueria los Pericos,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556872109,deduplication_index.csv
Pizza del Perro Negro,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525553517401,deduplication_index.csv
Carapapa,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,carapapa,deduplication_index.csv
Daikoku,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555849419,deduplication_index.csv
Servicios Integrales Veterinarios,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525562674370,deduplication_index.csv
La Brasitas de la Guerrero,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525543190867,deduplication_index.csv
Hacienda de Cortés,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,hacienda de cortes,deduplication_index.csv
Sonora Grill,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525570981218,deduplication_index.csv
Burrito Loco,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,burrito loco,deduplication_index.csv
La Capital,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552565159,deduplication_index.csv
Otro Lugar de la Mancha,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,otro lugar de la mancha,deduplication_index.csv
Kerouac,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525584353640,deduplication_index.csv
Fonda Argentina,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,fonda argentina,deduplication_index.csv
Vecchio Fascino,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,vecchio fascino,deduplication_index.csv
Merendero Biarritz,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555887791,deduplication_index.csv
Angelopolitano,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525563912121,deduplication_index.csv
Guzina Oaxaca,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552821820,deduplication_index.csv
Los Sifones,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555493890,deduplication_index.csv
La Buena Barra,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552806699,deduplication_index.csv
Publico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525540001288,deduplication_index.csv
Quintonil,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,quintonil,deduplication_index.csv
La Casa de Las Enchiladas (Lago Alberto),Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552606693,deduplication_index.csv
Brescia's,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,brescia s,deduplication_index.csv
Los Picositos,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,los picositos,deduplication_index.csv
Testal,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555101358,deduplication_index.csv
Suntory del Valle,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555369432,deduplication_index.csv
La Cebolla Morada,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la cebolla morada,deduplication_index.csv
La Rodante Pizzería,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la rodante pizzeria,deduplication_index.csv
La Canasta,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,la canasta,deduplication_index.csv
Spa & Nails Fashion,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,spa nails fashion,deduplication_index.csv
Marisquería La Glorieta,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,marisqueria la glorieta,deduplication_index.csv
Hospital Veterinario de Medicina Preventiva,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556052263,deduplication_index.csv
Maratea Mx,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525572605256,deduplication_index.csv
TAMALES COYOACÁN,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556968857,deduplication_index.csv
Urban Spices,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525570450535,deduplication_index.csv
Surasang,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,surasang,deduplication_index.csv
The Beauty & Relaxing SPA,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,the beauty relaxing spa,deduplication_index.csv
SRE Medicina Alternativa,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,sre medicina alternativa,deduplication_index.csv
La Pitahaya,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525571592918,deduplication_index.csv
u.to.pia,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525559962209,deduplication_index.csv
Malportaco,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525587530574,deduplication_index.csv
Clínica Dr. Casaubon,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,clinica dr casaubon,deduplication_index.csv
Taquería La Negra,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,taqueria la negra,deduplication_index.csv
Kabuki,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525559298227,deduplication_index.csv
Vecchio Forno,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,vecchio forno,deduplication_index.csv
mi Gusto es,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552545678,deduplication_index.csv
Bahia de Vigo,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,bahia de vigo,deduplication_index.csv
Hospital Veterinario,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized business name as previous campaign,hospital veterinario,deduplication_index.csv
Murakami,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552031371,deduplication_index.csv
La Galeterie,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555414541,deduplication_index.csv
Vege Taco,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525567258826,deduplication_index.csv
Salón Covadonga,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555332922,deduplication_index.csv
Terraza Cha Cha Chá,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525557052272,deduplication_index.csv
niddo dresde,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555250262,deduplication_index.csv
Rouge Bohème Bistro,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525555119704,deduplication_index.csv
Cada Regis,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552548207,deduplication_index.csv
Tetetlán,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525556685335,deduplication_index.csv
Bonito,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,same normalized phone as previous campaign,525552866165,deduplication_index.csv
