business_name,niche,country,city,zone,phone,normalized_phone,phone_status,website_status,website_url,source_url
El Tizoncito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55547712,525555547712,valid_format_only,No website found,,https://www.openstreetmap.org/node/1156051137
Unidad de Medicina Familiar 28 Del Valle,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55596100;+52 55 55596011,525555596100,valid_format_only,No website found,,https://www.openstreetmap.org/node/1165746718
Garabatos Insurgentes,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55439448; +52 55 55439457,525555439448,valid_format_only,No website found,,https://www.openstreetmap.org/node/1179438788
Gino's Guadalupe Inn,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56610777,525556610777,valid_format_only,Modern/official website found,https://www.ginos.com.mx/,https://www.openstreetmap.org/node/1407738579
Unidad de Medicina Familiar 19 Coyoacán,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55546455,525555546455,valid_format_only,No website found,,https://www.openstreetmap.org/node/1430612049
El Sheik,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56593311,525556593311,valid_format_only,No website found,,https://www.openstreetmap.org/node/1494079863
Sushi-itto Coyoacán,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55545735; +52 55 55545739,525555545735,valid_format_only,Modern/official website found,https://www.sushi-itto.com.mx/,https://www.openstreetmap.org/node/1494079875
Cluny,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55507350; +52 55 55507359; +52 55 56163582,525555507350,valid_format_only,Modern/official website found,https://www.cluny.com.mx/,https://www.openstreetmap.org/node/1695367990
Cafebrería El Péndulo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5286 9493,525552869493,valid_format_only,Modern/official website found,https://www.pendulo.com,https://www.openstreetmap.org/node/2111449531
El Ocho,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525648458237,525648458237,valid_format_only,Modern/official website found,https://elocho.mx/,https://www.openstreetmap.org/node/2111508344
Cafebrería El Péndulo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5574 7034,525555747034,valid_format_only,Modern/official website found,https://www.pendulo.com,https://www.openstreetmap.org/node/2133330368
Hospital de especialidades veterinarias San Jerónimo,Veterinaria,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56812078,525556812078,valid_format_only,Modern/official website found,http://www.vetsanjeronimo.com,https://www.openstreetmap.org/node/2343645938
Los Danzantes,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5554 1213; +52 55 5554 2896,525555541213,valid_format_only,No website found,,https://www.openstreetmap.org/node/2563111223
al-Andalus,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5522 2528,525555222528,valid_format_only,Modern/official website found,https://www.alandalus.com.mx,https://www.openstreetmap.org/node/2596191615
Óptica Optivision,Óptica/Oftalmología premium,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55176833,,invalid_phone,No website found,,https://www.openstreetmap.org/node/2655241565
El Rincón Zapatista,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5588 3641,525555883641,valid_format_only,No website found,,https://www.openstreetmap.org/node/2945133199
Asados Don Abel,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525593485162,525593485162,valid_format_only,Modern/official website found,https://asadosdonabelcamarones.com,https://www.openstreetmap.org/node/2995130538
Centro Castellano,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55186080,,invalid_phone,Modern/official website found,https://grupocastellano.com.mx/,https://www.openstreetmap.org/node/2995254652
Kolobok,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56044091,525556044091,valid_format_only,Modern/official website found,https://www.kolobok.com.mx/,https://www.openstreetmap.org/node/3429548470
La Cervecería de Barrio,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5604 7323,525556047323,valid_format_only,Modern/official website found,https://www.lacerveceria.com.mx/,https://www.openstreetmap.org/node/3443350332
COBÁ FONDA YUCATECA,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 6395 9961,525563959961,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443393077
El Afán,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5575 6460,525555756460,valid_format_only,Modern/official website found,http://www.elafan.com.mx/,https://www.openstreetmap.org/node/3443549664
Marina Bistro,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 55754014,525555754014,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443606075
Pitas Saleh,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 6363 7425,525563637425,valid_format_only,Modern/official website found,http://www.pitassaleh.com.mx/,https://www.openstreetmap.org/node/3443606076
Bistro Cheny,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5523 9908,525555239908,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443606077
El Viejo Camilo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5669 3124,525556693124,valid_format_only,Modern/official website found,http://elviejocamilo.com.mx/,https://www.openstreetmap.org/node/3443606078
Barnabeu Tapas,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5536 9943,525555369943,valid_format_only,Modern/official website found,http://www.barnabeu.com/,https://www.openstreetmap.org/node/3443642056
El Sencillito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5523 8195,525555238195,valid_format_only,Modern/official website found,https://www.giorgios.com.mx/sencillito.php,https://www.openstreetmap.org/node/3443642057
Giorgio's Pizzas,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5543 1162,525555431162,valid_format_only,Modern/official website found,https://www.giorgios.com.mx/giorgios.php,https://www.openstreetmap.org/node/3443642058
Chester's,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5688 2400,525556882400,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443642059
Ramen -ya,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5559 1495,525555591495,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443941003
Sushi Roll,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5575 7780,525555757780,valid_format_only,Modern/official website found,https://www.sushiroll.mx/,https://www.openstreetmap.org/node/3443941004
Pinche Gringo BBQ,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 6389 1129,525563891129,valid_format_only,Modern/official website found,https://www.pgbbq.mx/,https://www.openstreetmap.org/node/3443941009
Trok's torta,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5563 7897,525555637897,valid_format_only,No website found,,https://www.openstreetmap.org/node/3443948812
Un Rincon de Chile,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5524 4039,525555244039,valid_format_only,No website found,,https://www.openstreetmap.org/node/3444102490
Humbertos,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5559 8760,525555598760,valid_format_only,Modern/official website found,https://www.restaurantehumbertos.com/,https://www.openstreetmap.org/node/3444123713
Restaurante Shoya,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5669 5211,525556695211,valid_format_only,Modern/official website found,http://mikasamex.web.fc2.com/hp_shoya.html,https://www.openstreetmap.org/node/3445321675
Restaurante Hanal K'U,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5523 2383,525555232383,valid_format_only,Modern/official website found,https://www.hanalku.com/,https://www.openstreetmap.org/node/3445448193
Pane En Vía,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5260 0120,525552600120,valid_format_only,Modern/official website found,https://www.paneenvia.com/,https://www.openstreetmap.org/node/3454207106
Don Capitán Del Valle,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5524 5901,525555245901,valid_format_only,Modern/official website found,http://doncapitan.fishers.com.mx/,https://www.openstreetmap.org/node/3454250664
Mercado Roma,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5564 1396,525555641396,valid_format_only,Modern/official website found,https://mr.mercadoroma.com,https://www.openstreetmap.org/node/3454364869
Sushi Roll,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5604 7968,525556047968,valid_format_only,No website found,,https://www.openstreetmap.org/node/3459925467
El Tepehuani Conquistando,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 4754 0398,525547540398,valid_format_only,Only Instagram/Facebook,https://www.facebook.com/ElTepehuani,https://www.openstreetmap.org/node/3484583392
Bistrot M,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5688 1082,525556881082,valid_format_only,Modern/official website found,http://www.bistrotm.com/,https://www.openstreetmap.org/node/3534523216
Tony Roma's,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5250 2522,525552502522,valid_format_only,No website found,,https://www.openstreetmap.org/node/3750979962
Sanatorio Adventista,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5516 9207,525555169207,valid_format_only,No website found,,https://www.openstreetmap.org/node/3834878352
Servicios Veterinarios Rodríguez,Veterinaria,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+5215555839768,525555839768,valid_format_only,No website found,,https://www.openstreetmap.org/node/4022406544
Centro Veterinario Norte,Veterinaria,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+5215555173665,525555173665,valid_format_only,No website found,,https://www.openstreetmap.org/node/4022423653
La Vid Argentina,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,5448544,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4036655920
Restaurante El Amaranto,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5539 5074,525555395074,valid_format_only,No website found,,https://www.openstreetmap.org/node/4066846464
3 Sesenta Pizzería de Barrio,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,8000-123-4567,,invalid_phone,Modern/official website found,http://3-sesenta.com.mx/,https://www.openstreetmap.org/node/4066846465
El Naranjito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5336 9630,525553369630,valid_format_only,No website found,,https://www.openstreetmap.org/node/4066889784
Sonora Grill - Félix Cuevas,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5543 8299,525555438299,valid_format_only,Modern/official website found,https://sonoragrill.com.mx/,https://www.openstreetmap.org/node/4067931786
Paradiso Gourmet,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5280 5902,525552805902,valid_format_only,No website found,,https://www.openstreetmap.org/node/4103036790
La Cocina,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525556885573,525556885573,valid_format_only,Modern/official website found,http//:www.lacocinadesantacruz.com,https://www.openstreetmap.org/node/4111993689
Cardamomo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525565496774,525565496774,valid_format_only,Modern/official website found,https://www.cardamomo.mx/,https://www.openstreetmap.org/node/4124003219
Taqueria El Chaparrito,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,56056026,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4152567282
EL Compadre,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5725 7840,525557257840,valid_format_only,No website found,,https://www.openstreetmap.org/node/4156712504
La Casa de Toño,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5386 1125,525553861125,valid_format_only,No website found,,https://www.openstreetmap.org/node/4162397093
La vie en Rose,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525574775307,525574775307,valid_format_only,Modern/official website found,https://qrco.de/menu_lver,https://www.openstreetmap.org/node/4164135490
El Mayor,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 57047580,525557047580,valid_format_only,Modern/official website found,https://www.elmayor.com.mx/,https://www.openstreetmap.org/node/4166517292
Toks,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,5255419057,525255419057,valid_format_only,Modern/official website found,https://www.toks.com.mx/,https://www.openstreetmap.org/node/4273279993
La Hostería de Santo Domingo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5526 5276,525555265276,valid_format_only,No website found,,https://www.openstreetmap.org/node/4278412389
Fork of BBQ,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5264 5125,525552645125,valid_format_only,No website found,,https://www.openstreetmap.org/node/4279109390
Restaurante Gotan,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55352136,,invalid_phone,Modern/official website found,http://gotam.com.mx,https://www.openstreetmap.org/node/4279593591
Tlacoyotitlan,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 4790 3313,525547903313,valid_format_only,No website found,,https://www.openstreetmap.org/node/4279609590
Taquería Los Ovnis,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 52606289,525552606289,valid_format_only,No website found,,https://www.openstreetmap.org/node/4296656782
El Rey del Pavo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5518 2810,525555182810,valid_format_only,Modern/official website found,http://elreydelpavo.com.mx/,https://www.openstreetmap.org/node/4332836491
Cambalache,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 52802080 / 6268 6094,,invalid_phone,Modern/official website found,https://www.cambalacherestaurantes.com/,https://www.openstreetmap.org/node/4337938401
Pappa John's,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,52507272,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4338318689
La Vaca Loca,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525555798685,525555798685,valid_format_only,No website found,,https://www.openstreetmap.org/node/4379967689
Lalo!,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5564 3388,525555643388,valid_format_only,Modern/official website found,http://eat-lalo.com,https://www.openstreetmap.org/node/4419292693
Nanaya,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,01 55 5601 6989,,invalid_phone,Modern/official website found,https://www.sindelantal.mx/ciudad-de-mexico/nanaya-sushi-1784/,https://www.openstreetmap.org/node/4456412590
Frutos Prohibidos,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 56014340,525556014340,valid_format_only,Modern/official website found,https://www.frutosprohibidos.com/,https://www.openstreetmap.org/node/4456436489
La Corte,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55427358,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4483088775
La Cocina de San Juan,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525555125237,525555125237,valid_format_only,Modern/official website found,https://www.lacocinadesanjuan.com,https://www.openstreetmap.org/node/4519574281
Himawari,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5264 4397,525552644397,valid_format_only,No website found,,https://www.openstreetmap.org/node/4542316790
Cafebrería El Péndulo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5280 4111,525552804111,valid_format_only,Modern/official website found,http://www.pendulo.com,https://www.openstreetmap.org/node/4577349463
Taqueria EI Progreso,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,01 55 5592 8964,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4583855289
El Cardenal,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5521 3080,525555213080,valid_format_only,Modern/official website found,https://www.restauranteelcardenal.com/,https://www.openstreetmap.org/node/4594598745
La Talavera,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,015556591939,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4615436394
NA DE FO,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5525 0351,525555250351,valid_format_only,No website found,,https://www.openstreetmap.org/node/4629119789
Contramar,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525555149217,525555149217,valid_format_only,Modern/official website found,http://www.contramar.com.mx/,https://www.openstreetmap.org/node/4630628889
Ostionería La Playa,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55980475,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4715470592
Yug Vegetariano,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5525 5330,525555255330,valid_format_only,Modern/official website found,https://lovegetariano.com/,https://www.openstreetmap.org/node/4725149963
Sushiitto,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,55591728,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4740906623
El Pialadero de Guadalajara,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5211 7708,525552117708,valid_format_only,Modern/official website found,https://www.elpialaderodeguadalajara.mx/,https://www.openstreetmap.org/node/4760810361
Pizzería Balboa,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+53 55 21556320,,invalid_phone,Modern/official website found,http://balboapizzeria.mx,https://www.openstreetmap.org/node/4797479057
Koku,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,5207 3344,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4797479058
Taquitos Frontera Grill,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+525546321261,525546321261,valid_format_only,No website found,,https://www.openstreetmap.org/node/4872996927
Patagonia Parrilla de Campo,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+52 55 5211 8032,525552118032,valid_format_only,Modern/official website found,http://www.parrillapatagonia.com,https://www.openstreetmap.org/node/4873101321
Belle D'Jour,Clínica estética,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,56895259,,invalid_phone,No website found,,https://www.openstreetmap.org/node/4911815821
Museo del jamón México,Restaurante boutique,Mexico,Ciudad de México,Lomas/Bosques/Polanco/Nápoles/San Ángel/Pedregal,+5255238359,525255238359,valid_format_only,Modern/official website found,http://www.cristina.catering,https://www.openstreetmap.org/node/4912353021
