business_name,niche,city,zone,phone,normalized_phone,phone_status,website_status,website_url,source_url
"Carrier Enterprise México, S. de R.L. de C.V.",,San Pedro Garza García,San Pedro Garza García,+528180560400,528180560400,valid_format_only,Modern/official website found,https://www.carrier.com.mx/,https://www.openstreetmap.org/node/13753020901
H-E-B,,San Pedro Garza García,San Pedro Garza García,+528181531650,528181531650,valid_format_only,No website found in public source,,https://www.openstreetmap.org/way/208856258
Honda CLEBER Vasconcelos,,San Pedro Garza García,Santa Engracia,+528181335000,528181335000,valid_format_only,No website found in public source,,https://www.openstreetmap.org/way/633117350
Staybridge Suites,,San Pedro Garza Garcia,San Pedro Garza Garcia,+52 818 173 1000,528181731000,valid_format_only,Modern/official website found,https://www.ihg.com/staybridge/hotels/us/en/monterrey/mtysp/hoteldetail,https://www.openstreetmap.org/way/682532211
Acura CLEBER Monterrey,,San Pedro Garza García,Santa Engracia,+528181335000,528181335000,valid_format_only,No website found in public source,,https://www.openstreetmap.org/way/1336665780
BreAd Panaderos Artesanales,,San Pedro Garza García,Del Valle,+528121380677,528121380677,valid_format_only,Modern/official website found,https://www.breadpanaderos.com,https://www.openstreetmap.org/way/1377155598
Laboratorios Dr. Moreira,,San Pedro Garza García,Del Valle,+528181502100,528181502100,valid_format_only,No website found in public source,,https://www.openstreetmap.org/way/1392460349
Colegio Alfonsino,,San Pedro Garza García,San Pedro Garza García,+528115221520,528115221520,valid_format_only,Modern/official website found,https://alfonsino.edu.mx,https://www.openstreetmap.org/way/1467680339
Four Points by Sheraton Galerias Monterrey,,Monterrey,Monterrey,+52 81 8389 1600,528183891600,valid_format_only,Modern/official website found,https://www.marriott.com/hotels/travel/mtyfp-four-points-galerias-monterrey/,https://www.openstreetmap.org/node/795734928
H-E-B,,Monterrey,Monterrey,+528181531640,528181531640,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/1028028337
Holiday Inn Express Monterrey Tecnológico,,Monterrey,Monterrey,+528183296000,528183296000,valid_format_only,Modern/official website found,https://www.ihg.com/holidayinnexpress/hotels/us/en/monterrey/mtyeg/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-MX-_-MTYEG,https://www.openstreetmap.org/node/1041410330
Liverpool,,Monterrey,Monterrey,+52 81 8121 1300,528181211300,valid_format_only,Modern/official website found,https://www.liverpool.com.mx/tienda/home,https://www.openstreetmap.org/node/1289832284
Hotel Antarisuite Galerías,,Monterrey,Monterrey,+52 81 8130 1818,528181301818,valid_format_only,Modern/official website found,https://hotelantaris.com/galerias/,https://www.openstreetmap.org/node/1337503978
H-E-B,,Monterrey,Monterrey,+528181531621,528181531621,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/1356365676
7-Eleven,,Monterrey,Mitras Centro,+5281 8158 0711,528181580711,valid_format_only,Modern/official website found,https://www.7-eleven.com.mx/,https://www.openstreetmap.org/node/1574149293
H-E-B,,Monterrey,Monterrey,+528181531440,528181531440,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/1975235359
Liverpool,,Monterrey,Monterrey,+52 81 8133 4300,528181334300,valid_format_only,Modern/official website found,https://www.liverpool.com.mx/tienda/home,https://www.openstreetmap.org/node/1999050026
Liverpool,,Monterrey,Monterrey,+52 81 8389 5500,528183895500,valid_format_only,Modern/official website found,https://www.liverpool.com.mx/tienda/home,https://www.openstreetmap.org/node/1999050030
Krystal Urban Monterrey San Jerónimo,,Monterrey,Monterrey,+52 81 8122 8000,528181228000,valid_format_only,Modern/official website found,https://www.krystalurban-monterrey.com/?partner=7423utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm,https://www.openstreetmap.org/node/2292219832
Hotel Madero Express,,Monterrey,Monterrey,+52 81 8125 4900,528181254900,valid_format_only,Modern/official website found,https://hotelmaderoexpress.mxhotel.site/en/,https://www.openstreetmap.org/node/2313663666
Sheraton Ambassador,,Monterrey,Monterrey,+52 81 8380 7000,528183807000,valid_format_only,Modern/official website found,https://sheratonambassadormonterreyhotel.com-hotel.com/,https://www.openstreetmap.org/node/2357569491
Sala de lectura,,Monterrey,Monterrey,8158-4600 ext 4672,,invalid_phone,Modern/official website found,http://biblioteca.itesm.mx,https://www.openstreetmap.org/node/2419196625
Bricos,,Monterrey,Monterrey,+528181501800,528181501800,valid_format_only,Modern/official website found,https://bricos.com/,https://www.openstreetmap.org/node/2639961933
Bricos Express (Mayoreo Electrico de Monterrey),,Monterrey,Monterrey,+528181501850,528181501850,valid_format_only,Modern/official website found,https://bricos.com/,https://www.openstreetmap.org/node/2639962248
Ad Factory,,Monterrey,Monterrey,+528183578773,528183578773,valid_format_only,Modern/official website found,https://www.adfactory.mx/,https://www.openstreetmap.org/node/2941012949
Farmacia Dermatologica,,Monterrey,Monterrey,+52 81 8365 8208,528183658208,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/3041365723
RE Brokers Inmobiliaria,,Monterrey,Monterrey,+52 (0181) 1935-6080,,invalid_phone,Modern/official website found,https://rebrokers.mx,https://www.openstreetmap.org/node/3135511320
ComiCASTLE,,Monterrey,Monterrey,01 81 8372 7219,,invalid_phone,Modern/official website found,https://fantasticocomic.com/tienda/,https://www.openstreetmap.org/node/3388985159
Genomi-k,,Monterrey,Monterrey,+51 81 1522 5803,,invalid_phone,Modern/official website found,https://www.genomi-k.com/,https://www.openstreetmap.org/node/3857946367
Suburbia,,Monterrey,Monterrey,+52 81 8351 8142,528183518142,valid_format_only,Modern/official website found,https://www.suburbia.com.mx/tienda/home,https://www.openstreetmap.org/node/3991360268
Acura CLEBER Monterrey,,San Pedro,Santa Engracia,81 8133 5000,528181335000,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4055435177
Oxxo,,Monterrey,Monterrey,01-800-286-6996,,invalid_phone,Modern/official website found,https://www.oxxo.com/tiendas?cr=50FUN,https://www.openstreetmap.org/node/4115682203
Oxxo,,Monterrey,Monterrey,+52 800 286 6996,528002866996,valid_format_only,Modern/official website found,http//www.oxxo.com/,https://www.openstreetmap.org/node/4115682204
Oxxo,,Monterrey,Monterrey,01-800-286-6996,,invalid_phone,Modern/official website found,https://www.oxxo.com/tiendas?cr=50LUD,https://www.openstreetmap.org/node/4115682402
Cerrajería Llave de Oro,,Monterrey,Monterrey,01 81 8355 3082,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4123884316
Mitsubishi,,Guadalupe,Guadalupe,01 81 2127 9600,,invalid_phone,Modern/official website found,https://mitsusantalucia.com.mx/,https://www.openstreetmap.org/node/4124077513
Hotel Parque Central,,Monterrey,Monterrey,+52 81 8150 7100,528181507100,valid_format_only,Modern/official website found,https://www.hotelparquecentral.com.mx/web/,https://www.openstreetmap.org/node/4327465853
La Fogata,Restaurante boutique,Monterrey,Monterrey,018119706960,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4375189397
ChinoFacil,,Monterrey,Monterrey,5218112340608,528112340608,valid_format_only,Modern/official website found,https://chinomandarin.org/,https://www.openstreetmap.org/node/4412205879
SGM Suplementos GYM,,Monterrey,Monterrey,+52 81 1100 1869,528111001869,valid_format_only,Modern/official website found,http://www.suplementosgym.com.mx,https://www.openstreetmap.org/node/4489461592
Capilla de Santa Teresita del Niño Jesús,,Monterrey,Monterrey,8183775226,528183775226,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4530412692
Ros Ali,,Monterrey,Monterrey,+598 2605 6517,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4539973579
Suburbia,,Monterrey,Monterrey,+52 81 8306 3875,528183063875,valid_format_only,Modern/official website found,https://www.suburbia.com.mx/tienda/home,https://www.openstreetmap.org/node/4553113621
"Comidas Caseras, La Tía Mary",Restaurante boutique,Monterrey,Monterrey,81 1181 7953,528111817953,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4862706148
FRI S.A de C.V,,Monterrey,Monterrey,83404641,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4938852819
Consultorio Técnico Industrial,,Monterrey,Monterrey,83426740,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4951297366
Seguridad Web,,Monterrey,Monterrey,14939262,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/4951299055
Los Condados,,Monterrey,Monterrey,+52 81 8345 8702,528183458702,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4964342337
Las Tres Tostadas,,Monterrey,Monterrey,+52 81 1089 6400,528110896400,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/4964342338
Lic. Juan Gil Cortes E,Abogado migratorio,Monterrey,Monterrey,+52 81 8340 5199,528183405199,valid_format_only,Only social/profile link found,https://cortesabogados.business.site/,https://www.openstreetmap.org/node/5030976658
Xtreme Wax,,Monterrey,Monterrey,8115431720,528115431720,valid_format_only,Modern/official website found,http://www.xtremewaxmty.com,https://www.openstreetmap.org/node/5140632421
H-E-B,,Monterrey,Monterrey,+528181531100,528181531100,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/5333642229
"Competitividad e Informatica, S.A. de C. V.",,Monterrey,Monterrey,81 82890700,528182890700,valid_format_only,Modern/official website found,http://www.iplace.net,https://www.openstreetmap.org/node/5589170421
Mundoregio Viajes,,Monterrey,Monterrey,+52 8183491655 / +52 8183491152,528183491655,valid_format_only,Modern/official website found,https://mundoregioviajes.com/,https://www.openstreetmap.org/node/6143651644
ADVANSE,,Monterrey,Monterrey,+528181234006,528181234006,valid_format_only,Modern/official website found,http://www.advanse.com.mx,https://www.openstreetmap.org/node/6164797088
La Cabaña de Rodas,,Monterrey,Monterrey,+528117688830,528117688830,valid_format_only,Modern/official website found,https://www.cabanaderodas.com/,https://www.openstreetmap.org/node/6164797089
Repuestos Tigra,,Monterrey,Monterrey,+506 8839 9528,,invalid_phone,No website found in public source,,https://www.openstreetmap.org/node/6196620464
City Express Plus Monterrey Nuevo Sur,,Monterrey,Monterrey,+52 812 127 9000,528121279000,valid_format_only,Modern/official website found,https://www.cityexpress.com/en/plus/hotels-mexico/nuevo-leon/monterrey/nuevo-sur,https://www.openstreetmap.org/node/6262345671
Radisson Hotel Monterrey San Jeronimo,,Monterrey,Monterrey,+52 81 1734 1850,528117341850,valid_format_only,Modern/official website found,https://www.radisson.com/monterrey-hotel-nl-64630/mexmosj,https://www.openstreetmap.org/node/6306232256
CHN Hotel Monterrey Centro,,Monterrey,Monterrey,+52 818 150 2200,528181502200,valid_format_only,Modern/official website found,https://www.wyndhamhotels.com/trademark/monterrey-mexico/chn-hotel-monterrey-centro-trademark/overview,https://www.openstreetmap.org/node/6524968686
"Protección Ejecutiva Extrema, S. A. de C. V.",,Monterrey,Monterrey,+52 81 1292 0300,528112920300,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/6589338955
Fiesta Inn Express Monterrey Centro,,Monterrey,Monterrey,+52 81 2525 5300,528125255300,valid_format_only,Modern/official website found,https://www.fiestainn.com/en/fiesta-inn-express-monterrey-centro,https://www.openstreetmap.org/node/6699234212
Enchiladas Las Coloradas,Restaurante boutique,Monterrey,Monterrey,+5218110959462,528110959462,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/6899209948
H-E-B,,Monterrey,Monterrey,+528181531645; +52 81 2474 0010,528181531645,valid_format_only,Modern/official website found,https://heb.com.mx,https://www.openstreetmap.org/node/7176539522
San Antonio,,Monterrey,Monterrey,+52 81 1231 7002,528112317002,valid_format_only,No website found in public source,,https://www.openstreetmap.org/node/7382909685
Liverpool,,Monterrey,Monterrey,+52 81 1423 0100,528114230100,valid_format_only,Modern/official website found,https://www.liverpool.com.mx/tienda/home,https://www.openstreetmap.org/node/7392813921
